Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,3.5259E-05,-1.2162E-05,0.060842,0,0,0,3.089,0.021922,-7.7287E-09,7.1607E-08,0.013081,-8.1167E-07,0.026484,0,0,0,0,0,0,package://YX1/meshes/base_link.STL,0.49804,0.49804,0.49804,1,0,0,0,0,0,0,package://YX1/meshes/base_link.STL,,上平台-1;髋关节与身体连接处固定-2;髋关节与身体连接处固定-1;停产-DM-J8006 减速电机V1.0-3D 20240822.stp-11/8108_0001.stp-1;停产-DM-J8006 减速电机V1.0-3D 20240822.stp-10/8108_0001.stp-1;髋中间-2;停产-DM-J8006 减速电机V1.0-3D 20240822.stp-11/DM_8108_3D.stp-1;停产-DM-J8006 减速电机V1.0-3D 20240822.stp-10/DM_8108_3D.stp-1,坐标系3,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_yaw_Link,-0.035004,-0.00045659,0.037246,0,0,0,0.39556,0.00062021,1.299E-06,-0.00016414,0.00052063,-2.1174E-06,0.00057596,0,0,0,0,0,0,package://YX1/meshes/left_yaw_Link.STL,1,1,1,1,0,0,0,0,0,0,package://YX1/meshes/left_yaw_Link.STL,,yushu抱紧-2;A1_motor.step-2,坐标系7,基准轴1,left_yaw_joint,revolute,0.0001661,0.071324,-0.1324,0,0,0,base_link,0,0,-1,0,0,0,0,,,,,,,,
left_roll_Link,-0.0087446,0.0412,2.6491E-06,0,0,0,0.61494,0.00067942,-3.8385E-05,1.4235E-09,0.00091536,-1.7394E-08,0.0006494,0,0,0,0,0,0,package://YX1/meshes/left_roll_Link.STL,1,1,1,1,0,0,0,0,0,0,package://YX1/meshes/left_roll_Link.STL,,停产-DM-J8006 减速电机V1.0-3D 20240822.stp-12/DM_8108_3D.stp-1;大腿与小腿连接-1;停产-DM-J8006 减速电机V1.0-3D 20240822.stp-13/DM_8108_3D.stp-1;停产-DM-J8006 减速电机V1.0-3D 20240822.stp-13/8108_0001.stp-1;停产-DM-J8006 减速电机V1.0-3D 20240822.stp-12/8108_0001.stp-1,坐标系16,基准轴2,left_roll_joint,revolute,0.033302,0,0,0,0,0,left_yaw_Link,0.99991,0.013043,0,0,0,0,0,,,,,,,,
left_pitch_Link,-0.00018038,-0.001663,-0.12173,0,0,0,0.19156,0.00030938,-1.5891E-07,-1.1828E-07,0.00032158,8.7941E-06,3.402E-05,0,0,0,0,0,0,package://YX1/meshes/left_pitch_Link.STL,0.49804,0.49804,0.49804,1,0,0,0,0,0,0,package://YX1/meshes/left_pitch_Link.STL,,大腿电机连接件-1;大腿（杆）-1;小腿与大腿连接-1,坐标系4,基准轴3,left_pitch_joint,revolute,0,0.030959,0,0,0,0,left_roll_Link,-0.013043,0.99991,0,0,0,0,0,,,,,,,,
left_knee_Link,0.03159,0.00041206,-0.089451,0,0,0,0.12591,0.00025532,-1.93E-07,1.6131E-06,0.00027011,2.1035E-08,2.7397E-05,0,0,0,0,0,0,package://YX1/meshes/left_knee_Link.STL,1,1,1,1,0,0,0,0,0,0,package://YX1/meshes/left_knee_Link.STL,,小腿与大腿连接件2-2;小腿-2;小腿与大腿连接件2-5,坐标系5,基准轴4,left_knee_joint,revolute,-0.00020086,-0.00012471,-0.29322,0,0,0,left_pitch_Link,-0.013043,0.99991,0,0,0,0,0,,,,,,,,
left_ankle_Link,0.011062,0.0041243,-0.049762,0,0,0,0.23135,0.00011761,-2.5917E-06,2.8721E-05,0.00030797,6.9596E-07,0.00024974,0,0,0,0,0,0,package://YX1/meshes/left_ankle_Link.STL,1,1,1,1,0,0,0,0,0,0,package://YX1/meshes/left_ankle_Link.STL,,玉足-1,坐标系6,基准轴5,left_ankle_joint,revolute,0.00017049,0,-0.17,0,0,0,left_knee_Link,0.013043,-0.99991,0,0,0,0,0,,,,,,,,
right_yaw_Link,-0.035004,0.00045659,0.037246,0,0,0,0.39556,0.00062021,-1.2991E-06,-0.00016414,0.00052063,2.1173E-06,0.00057596,0,0,0,0,0,0,package://YX1/meshes/right_yaw_Link.STL,1,1,1,1,0,0,0,0,0,0,package://YX1/meshes/right_yaw_Link.STL,,yushu抱紧-1;A1_motor.step-1,坐标系14,基准轴6,right_yaw_joint,revolute,0.0001661,-0.071324,-0.1324,0,0,0,base_link,0,0,-1,0,0,0,0,,,,,,,,
right_roll_Link,-0.0087446,-0.0412,2.4733E-06,0,0,0,0.61494,0.00067942,3.8385E-05,-1.4025E-09,0.00091536,-1.7386E-08,0.0006494,0,0,0,0,0,0,package://YX1/meshes/right_roll_Link.STL,1,1,1,1,0,0,0,0,0,0,package://YX1/meshes/right_roll_Link.STL,,停产-DM-J8006 减速电机V1.0-3D 20240822.stp-15/DM_8108_3D.stp-1;停产-DM-J8006 减速电机V1.0-3D 20240822.stp-15/8108_0001.stp-1;停产-DM-J8006 减速电机V1.0-3D 20240822.stp-14/8108_0001.stp-1;停产-DM-J8006 减速电机V1.0-3D 20240822.stp-14/DM_8108_3D.stp-1;大腿与小腿连接-2,坐标系15,基准轴7,right_roll_joint,revolute,0.033302,0,0,0,0,0,right_yaw_Link,0.99991,-0.013043,0,0,0,0,0,,,,,,,,
right_pitch_Link,-0.00018121,0.0016629,-0.12173,0,0,0,0.19156,0.00030938,1.5923E-07,-1.1118E-07,0.00032158,-8.7946E-06,3.402E-05,0,0,0,0,0,0,package://YX1/meshes/right_pitch_Link.STL,0.49804,0.49804,0.49804,1,0,0,0,0,0,0,package://YX1/meshes/right_pitch_Link.STL,,大腿电机连接件-2;大腿（杆）-2;小腿与大腿连接-2,坐标系10,基准轴8,right_pitch_joint,revolute,0,-0.030959,0,0,0,0,right_roll_Link,0.013043,0.99991,0,0,0,0,0,,,,,,,,
right_knee_Link,0.03159,-0.00041205,-0.089451,0,0,0,0.12591,0.00025532,1.9297E-07,1.6131E-06,0.00027011,-2.1031E-08,2.7397E-05,0,0,0,0,0,0,package://YX1/meshes/right_knee_Link.STL,1,1,1,1,0,0,0,0,0,0,package://YX1/meshes/right_knee_Link.STL,,小腿与大腿连接件2-3;小腿-3;小腿与大腿连接件2-4,坐标系11,基准轴9,right_knee_joint,revolute,-0.00020086,0.00012471,-0.29322,0,0,0,right_pitch_Link,0.013043,0.99991,0,0,0,0,0,,,,,,,,
right_ankle_Link,0.011232,-0.0041708,-0.049762,0,0,0,0.23135,0.0001176,2.3756E-06,2.8729E-05,0.00030798,-5.3424E-08,0.00024974,0,0,0,0,0,0,package://YX1/meshes/right_ankle_Link.STL,1,1,1,1,0,0,0,0,0,0,package://YX1/meshes/right_ankle_Link.STL,,玉足-2,坐标系12,基准轴10,right_ankle_joint,revolute,0,0,-0.17,0,0,0,right_knee_Link,0.013043,0.99991,0,0,0,0,0,,,,,,,,
